autowalk want=1 now=(561,513) orig=(537,427) side=2 target=561 ms=1 wrote=1
autowalk want=1 now=(561,513) orig=(537,427) side=7 target=576 ms=1 wrote=1
autowalk want=1 now=(576,498) orig=(537,427) side=7 target=591 ms=0 wrote=1
autowalk want=1 now=(591,483) orig=(537,427) side=7 target=606 ms=0 wrote=1
autowalk want=1 now=(606,468) orig=(537,427) side=7 target=621 ms=0 wrote=1
autowalk want=1 now=(607,467) orig=(537,427) side=7 target=622 ms=0 wrote=1
autowalk want=1 now=(607,467) orig=(537,427) side=3 target=592 ms=1 wrote=1
autowalk want=1 now=(592,482) orig=(537,427) side=3 target=577 ms=0 wrote=1
autowalk want=1 now=(577,497) orig=(537,427) side=3 target=562 ms=0 wrote=1
autowalk want=1 now=(562,512) orig=(537,427) side=3 target=547 ms=0 wrote=1
autowalk want=1 now=(547,527) orig=(537,427) side=3 target=532 ms=0 wrote=1
autowalk want=1 now=(532,542) orig=(537,427) side=3 target=517 ms=0 wrote=1
autowalk want=1 now=(517,557) orig=(537,427) side=3 target=502 ms=0 wrote=1
autowalk want=1 now=(502,572) orig=(537,427) side=3 target=487 ms=0 wrote=1
autowalk want=1 now=(495,579) orig=(537,427) side=3 target=480 ms=0 wrote=1
autowalk want=1 now=(495,579) orig=(537,427) side=5 target=480 ms=1 wrote=1
autowalk want=1 now=(480,564) orig=(537,427) side=5 target=465 ms=0 wrote=1
autowalk want=1 now=(466,549) orig=(537,427) side=5 target=451 ms=0 wrote=1
autowalk want=1 now=(451,534) orig=(537,427) side=5 target=436 ms=0 wrote=1
autowalk want=1 now=(436,519) orig=(537,427) side=5 target=421 ms=0 wrote=1
autowalk want=1 now=(421,504) orig=(537,427) side=5 target=406 ms=0 wrote=1
autowalk want=1 now=(416,497) orig=(537,427) side=5 target=401 ms=0 wrote=1
autowalk want=1 now=(416,497) orig=(537,427) side=2 target=416 ms=1 wrote=1
autowalk want=1 now=(415,510) orig=(537,427) side=2 target=415 ms=0 wrote=1
autowalk want=1 now=(415,507) orig=(537,427) side=2 target=415 ms=1 wrote=1
autowalk want=1 now=(415,507) orig=(537,427) side=3 target=400 ms=1 wrote=1
autowalk want=1 now=(412,510) orig=(537,427) side=3 target=397 ms=0 wrote=1
autowalk want=1 now=(412,510) orig=(537,427) side=0 target=427 ms=0 wrote=1
autowalk want=1 now=(423,510) orig=(537,427) side=0 target=438 ms=0 wrote=1
autowalk want=1 now=(422,510) orig=(537,427) side=0 target=437 ms=1 wrote=1
