fastenc(sendmsg) ENABLED hwnd=00290388 (pure in-place gcgc, no origin)
fastenc(sendmsg) sent cnt=1101 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1118 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1135 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1151 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1168 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1185 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1202 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1219 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1236 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1252 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1269 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1286 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1303 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1320 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1337 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1354 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1371 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1388 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1405 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1422 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1438 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1455 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1472 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1489 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1506 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1523 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1540 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1557 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1574 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1591 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1608 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1625 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1641 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1658 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1674 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1691 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1707 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1724 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1741 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
