fastenc(sendmsg) ENABLED hwnd=004402EE (pure in-place gcgc, no origin)
fastenc(sendmsg) sent cnt=783 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=800 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=817 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=834 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=851 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=868 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=885 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=902 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=919 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=936 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=953 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=970 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=987 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=1004 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=1021 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=1038 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=1055 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=1072 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=1089 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=1106 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=1122 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=1138 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=1155 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=1172 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=1189 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=1206 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=1223 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=1240 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=1257 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=1274 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=1291 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=1308 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=1324 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=1341 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=1358 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=1375 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=1391 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=1408 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=1425 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=1442 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=1459 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=1476 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=1492 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=1509 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=1525 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=1542 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=1559 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=1576 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=1593 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=1610 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=1627 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=1644 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=1661 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=1678 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=1695 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=1711 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=1728 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=1745 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=1762 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=1779 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=1796 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=1813 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=1830 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=1847 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=1864 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=1881 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=1898 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=1915 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=1931 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=1948 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=1965 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=1982 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=1999 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=2016 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=2032 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
